tx,block,log_index,timestamp,timestamp_utc,main_account_transaction,direction,a0in,a1in,a0out,a1out,net_MOO_to_pool,net_mCELO_to_pool,pre0,pre1,post0,post1,pre_mCELO_per_MOO,post_mCELO_per_MOO
0x50157b49746f54078731d4dfb9d74bbf87c5140dc0850c54cc0502e8b6bad5fc,15688889,106,1666112439,2022-10-18T17:00:39+00:00,False,sell_MOO,990457257848233798,487298772503994050,0,3461822140697211461,0.990457257848233798,-2.974523368193217411,451025387558718591727622,1581159906370268136595887,451026378015976439961420,1581156931846899943378476,3.50570045497587060520139825302805976050401164554095990276998,3.50568616142200791390728004824497479849074352607308407408952
0x075a725962581c4745ea8aed171fb068b89bf01663b63f201e3c41150c8528a1,15688892,89,1666112454,2022-10-18T17:00:54+00:00,False,sell_MOO,4541683133609830347,730947649448228775,0,15873791199747256817,4.541683133609830347,-15.142843550299028042,451026378015976439961420,1581156931846899943378476,451030919699110049791767,1581141789003349644350434,3.50568616142200791390728004824497479849074352607308407408952,3.50561728685508890441786687748490163757893550399018663187616
0x846fda2382e8c3e8af9b27e902c4e94068b0a3467e68c1c337755d1281a06517,15688893,110,1666112459,2022-10-18T17:00:59+00:00,False,sell_MOO,24011556093895411234,243648206306096960,0,83918345986096374896,24.011556093895411234,-83.674697779790277936,451030919699110049791767,1581141789003349644350434,451054931255203945203001,1581058114305569854072498,3.50561728685508890441786687748490163757893550399018663187616,3.50524515917777974706723110770978795629516622298890538134169
0xfd1e70a96673ed6a1239c7b4c6e413902e8c1b69608c95fd91f1a7fdc10fab64,15688894,94,1666112464,2022-10-18T17:01:04+00:00,False,sell_MOO,36535766151996365798,243642307608748317,0,127672306466980284130,36.535766151996365798,-127.428664159371535813,451054931255203945203001,1581058114305569854072498,451091467021355941568799,1580930685641410482536685,3.50524515917777974706723110770978795629516622298890538134169,3.50467876521939344866669580445967899793334741036086891093052
0x07c1e465148c55a4c91996fca80c9b33311e326d3669a804a1c54f08f106b317,15688895,98,1666112469,2022-10-18T17:01:09+00:00,False,sell_MOO,32060951735783510790,243633312767160804,0,112018309007357969909,32.06095173578351079,-111.774675694590809105,451091467021355941568799,1580930685641410482536685,451123527973091725079589,1580818910965715891727580,3.50467876521939344866669580445967899793334741036086891093052,3.50418192123202091608758925712006194260640999727187558042692
0x147013620f7112a38dd13bfda52a2b84b514d8d8157e7953371d3f28d21f5f5e,15688896,171,1666112474,2022-10-18T17:01:14+00:00,False,sell_MOO,841783559549903926,243616049905634932,0,2940907971585271604,0.841783559549903926,-2.697291921679636672,451123527973091725079589,1580818910965715891727580,451124369756651274983515,1580816213673794212090908,3.50418192123202091608758925712006194260640999727187558042692,3.50416940349848395171832734662569664963582649776773243667204
0x671c394e03395b99be60d7b8046d814ef3fd4620acc170d5408064e5d7d79993,15688896,296,1666112474,2022-10-18T17:01:14+00:00,False,sell_MOO,83473619725347082549,0,0,291574397628569346589,83.473619725347082549,-291.574397628569346589,451124369756651274983515,1580816213673794212090908,451207843376376622066064,1580524639276165642744319,3.50416940349848395171832734662569664963582649776773243667204,3.50287492222905667000079165608917152468123119658186781080168
0xb33e36c6003a115d707632f0f9f18266b5d3276cc107c6136ef7703e60cb23b5,15688897,114,1666112479,2022-10-18T17:01:19+00:00,False,sell_MOO,5876234118681644716,243570983047466842,0,20521695532803319914,5.876234118681644716,-20.278124549755853072,451207843376376622066064,1580524639276165642744319,451213719610495303710780,1580504361151615886891247,3.50287492222905667000079165608917152468123119658186781080168,3.50278436239919044601341643293482751461476986920050283220507
0x54b7c12d09c96b2f4e9a1731ecec36d4c2856eec64d37a93427cb5a1e0f6560b,15688898,64,1666112484,2022-10-18T17:01:24+00:00,False,sell_MOO,3421645084954286261176,243569568181880802,0,11859664604945923708396,3421.645084954286261176,-11859.421035377741827594,451213719610495303710780,1580504361151615886891247,454635364695449589971956,1568644940116238145063653,3.50278436239919044601341643293482751461476986920050283220507,3.45033638367978589929538441842627872008851423075628708667181
0x7915f5c688bc562bc5021cf444b6001c811092ee5f0cb0dd5427e954bfa9f4f9,15688898,80,1666112484,2022-10-18T17:01:24+00:00,False,sell_MOO,1960692493327187078,0,0,6744724500483241842,1.960692493327187078,-6.744724500483241842,454635364695449589971956,1568644940116238145063653,454637325387942917159034,1568638195391737661821811,3.45033638367978589929538441842627872008851423075628708667181,3.45030666818483420355537076337331250203052631903330377966883
0xe838e662c8a148d4366146daa6efe205074570bb30afc6e087821a7ccfb0fd57,15688898,141,1666112484,2022-10-18T17:01:24+00:00,False,buy_MOO,0,772111843814168620,223109191310655965,0,-0.223109191310655965,0.77211184381416862,454637325387942917159034,1568638195391737661821811,454637102278751606503069,1568638967503581475990431,3.45030666818483420355537076337331250203052631903330377966883,3.45031005969636416500906163444065953226962461216859763482640
0x326486cc11f5f3cddca1e60ef718d6fbde1737672ac675a8db0e85bd6cdc4c2d,15688898,213,1666112484,2022-10-18T17:01:24+00:00,False,sell_MOO,132269361650427751,0,0,455001066186685743,0.132269361650427751,-0.455001066186685743,454637102278751606503069,1568638967503581475990431,454637234548113256930820,1568638512502515289304688,3.45031005969636416500906163444065953226962461216859763482640,3.45030805508410185299054902240658351203246963786400263115968
0xbf35da2f382d271ec7ea93069418dc75983bd08d7177fc8e202210c376eb01aa,15688900,122,1666112494,2022-10-18T17:01:34+00:00,False,buy_MOO,0,1222256353328895699,213475977407621960,0,-0.21347597740762196,1.222256353328895699,454637234548113256930820,1568638512502515289304688,454637021072135849308860,1568639734758868618200387,3.45030805508410185299054902240658351203246963786400263115968,3.45031236360748854517657204693874722626508142507706556533086
0x2a5fc7b091477a4d6625910b511a34ebee05dd89f41a48e442da1bcf3866f703,15688900,148,1666112494,2022-10-18T17:01:34+00:00,False,buy_MOO,0,22868492156585902,6608064414459426,0,-0.006608064414459426,0.022868492156585902,454637021072135849308860,1568639734758868618200387,454637014464071434849434,1568639757627360774786289,3.45031236360748854517657204693874722626508142507706556533086,3.45031246405768739038953796318887416425217231328763900450949
0xd171381561e9a2336b4cb91caafe6a3f7382920296c0088d6b81f7d3fe94ff03,15688904,32,1666112514,2022-10-18T17:01:54+00:00,False,sell_MOO,369029702183733054,966964068299231283,0,1269446950387683492,0.369029702183733054,-0.302482882088452209,454637014464071434849434,1568639757627360774786289,454637383493773618582488,1568639455144478686334080,3.45031246405768739038953796318887416425217231328763900450949,3.45030899810719508543135253606120224546701436076322532824010
0xaa067f4c13f92715c024a35c56fbfde89d1a1ff48686593d6944e41366bc7323,15688904,126,1666112514,2022-10-18T17:01:54+00:00,False,sell_MOO,29287936910350330,0,0,100749268490163729,0.02928793691035033,-0.100749268490163729,454637383493773618582488,1568639455144478686334080,454637412781710528932818,1568639354395210196170351,3.45030899810719508543135253606120224546701436076322532824010,3.45030855423325274264769138366613501134869394213129503158855
0xa676a8f97fdbc20421ea9060a23b034c010fbd94d52b4488e543e79d3a6daa7d,15688905,101,1666112519,2022-10-18T17:01:59+00:00,False,buy_MOO,0,1383377064245891767,329886590075616269,0,-0.329886590075616269,1.383377064245891767,454637412781710528932818,1568639354395210196170351,454637082895120453316549,1568640737772274442062118,3.45030855423325274264769138366613501134869394213129503158855,3.45031410060789480485337566166670779082686126982377563981623
0x7bf2d7eaabb21dbb82b5304696ab627da496971b3b82e345e8a44bbf67d3c2c9,15688906,50,1666112524,2022-10-18T17:02:04+00:00,False,buy_MOO,0,6526226690171941810,1815952705098431736,0,-1.815952705098431736,6.52622669017194181,454637082895120453316549,1568640737772274442062118,454635266942415354884813,1568647263998964614003928,3.45031410060789480485337566166670779082686126982377563981623,3.45034223708309753112993448898759647200856267102323100946846
