tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0x310743f75629a0bef69a4d00af7cec9d0567e50db2a1f7fabdd603332c75fff0,15688840,160,1666112194,2022-10-18T16:56:34+00:00,428330122625394685055564,1502103546731027484991546,3.50688281628216100705612903187076675545541041994852812352629
0x1bd9d4f6e5108ae3fd454456dc8be48b8428454816eb063029035d3b47f3299b,15688841,175,1666112199,2022-10-18T16:56:39+00:00,428339003550994609723230,1502072727918942722616306,3.50673815708243804347910207028187785394960916456004701574758
0x568dcfcff412f06f3a3e617ac1ec6ffc8b981509479cd27edfaa61d4c6ad0447,15688842,65,1666112204,2022-10-18T16:56:44+00:00,428349003550994609723230,1502037998026828868926839,3.50657521221013517430776686800975018677283312294935868922415
0x938fd33e78f5a63c1226c6cbd6af52d0bb82d1c6e36089482e1ed4d73e49e11b,15688847,130,1666112229,2022-10-18T16:57:09+00:00,428349277450939996199784,1502038197813059992040961,3.50657343640574367061180175023011351483833930148382236278125
0x6dd08d61fee61819d7227bada1bf6f8ae2fda0229e67dace0a9aba59024338fb,15688847,182,1666112229,2022-10-18T16:57:09+00:00,428349831330791016754523,1502036261421844912448760,3.50656438163017488230109570769317214979937025269699893488954
0x073ca419cc5842ea4579f73d4531093765401da1fb3cac0e6698fb93216531ae,15688848,153,1666112234,2022-10-18T16:57:14+00:00,428349873171545145755088,1502036346615679998670053,3.50656423800117696162492386359026722673268278917114644503117
0xc1097f231c4595e713254bc831f599e9a5ae091e60c5ebb22a878c1cfc3ae8f8,15688849,169,1666112239,2022-10-18T16:57:19+00:00,428349875326415308237316,1502036570553149749391485,3.50656474315196972545265711277222303788589014498750260405892
0x9aaf398213c4b608b0902ad6872b01d4048e767c3a32d30d940c44eb12d18d29,15688849,203,1666112239,2022-10-18T16:57:19+00:00,428350599745359343859391,1502034037956157349108228,3.50655290047234270356166409636001751171555286319155796394493
0xcd72a25903a4dc0197a850f0270408edbf9883d29e136937f0999be5ee5ad346,15688854,23,1666112264,2022-10-18T16:57:44+00:00,428351890821321020217028,1502030218737538757243894,3.50653341545323671862108959498623582999860247966765927684337
0xd0cf6fe4cfc0cd82781251c0bb92409bb00219c4eb2c4d12ac0a981c806c9255,15688854,106,1666112264,2022-10-18T16:57:44+00:00,428352556531267605681556,1502027891409974667710254,3.50652253268467210337468503431408095555516787839390587441337
0x960df117d233d7b6cb0891a9af4a3f4fddf7dba808a9f0f0c0eb332095cb38ea,15688854,264,1666112264,2022-10-18T16:57:44+00:00,428358037414181952675483,1502008730471488526189434,3.50643293525781865075342384567464885746558825451075650001411
0x757f0f6fb1167979cc7a407d556c70ec47152374278e5abe9505d612066e68cc,15688855,89,1666112269,2022-10-18T16:57:49+00:00,428359185955096303105883,1502004946749856452669410,3.50641470055297806912938935299307478002397721466762846227152
0x348a19d55676c0ff68479e8ab37ed936ebeb75ef3c6ae7220820cf2655ba19e4,15688855,200,1666112269,2022-10-18T16:57:49+00:00,428360559779357170851126,1502000144019221926079696,3.50639224300407635726730188415212889937432215382263672393708
0x108970e62c9c41d691b4fd9289b9adf8ede4404ce7f596b86634b94bfacde860,15688855,244,1666112269,2022-10-18T16:57:49+00:00,428361217150757124884952,1501997845935766395856763,3.50638149720065437807596614502228664008112283953097506329227
0x69cbc21f5f21e060e95d72cebc4c7c7db68f893536925ccfead4c4f5f699ed34,15688856,169,1666112274,2022-10-18T16:57:54+00:00,428361447737859820695374,1501997271303925446138012,3.50637826824949960036268209702025756317143666187895880553372
0x71ec4c774fc624487442782c7821f092fb1442d66bdef651d6e9f8eeb94c6763,15688857,131,1666112279,2022-10-18T16:57:59+00:00,428361773345045957312297,1501996364496723685494503,3.50637348605535744036636088075274778718224199575257174378236
